sector_id,scenario,rank,title,category,score_delta,from_score,to_score,suggested_lat,suggested_lng
21001A42-,family,2,+1 supermarket within 400m,supermarket,5,88,93,50.828643,4.291249
21001A42-,remote,1,+1 coworking space within 550m,coworking,20,72,92,50.830311,4.283887
21001A42-,remote,2,+1 supermarket within 400m,supermarket,5,72,77,50.828643,4.291249
21001A42-,remote,3,+1 library within 550m,library,3,72,75,50.834163,4.29861
21001A42-,senior,1,+1 supermarket within 300m,supermarket,10,84,94,50.829535,4.291249
21001A42-,senior,2,+1 library within 400m,library,4,84,88,50.833685,4.296783
21001A43-,remote,1,+1 coworking space within 550m,coworking,10,81,91,50.827161,4.289235
21001A43-,remote,2,+1 café within 400m,cafe,5,81,86,50.825766,4.298773
21001A43-,remote,3,+1 library within 550m,library,4,81,85,50.831012,4.303956
21001A43-,senior,1,+1 café within 300m,cafe,5,84,89,50.82659,4.298233
21001A43-,senior,2,+1 hospital within 0m,hospital,4,84,88,50.829087,4.296595
21001A43-,senior,3,+1 library within 400m,library,4,84,88,50.830535,4.30213
21001A441,remote,1,+1 coworking space within 550m,coworking,9,75,84,50.823878,4.286716
21001A441,remote,2,+1 library within 550m,library,8,75,83,50.82773,4.301437
21001A441,remote,3,+1 café within 400m,cafe,6,75,81,50.822483,4.296254
21001A441,senior,1,+1 supermarket within 300m,supermarket,6,72,78,50.823101,4.294076
21001A441,senior,2,+1 hospital within 0m,hospital,5,72,77,50.825804,4.294076
21001A441,senior,3,+1 library within 400m,library,5,72,77,50.827252,4.299611
21001A451,family,1,+1 playground within 250m,playground,6,81,87,50.82572,4.293496
21001A451,family,2,+1 supermarket within 400m,supermarket,4,81,85,50.820133,4.29219
21001A451,remote,1,+1 coworking space within 550m,coworking,17,58,75,50.821802,4.28483
21001A451,remote,2,+1 café within 400m,cafe,6,58,64,50.820407,4.294367
21001A451,remote,3,+1 library within 550m,library,6,58,64,50.825653,4.29955
21001A451,senior,1,+1 supermarket within 300m,supermarket,10,58,68,50.821025,4.29219
21001A451,senior,2,+1 transit stop within 250m,transit,9,58,67,50.823728,4.288767
21001A451,senior,3,+1 hospital within 0m,hospital,5,58,63,50.823728,4.29219
21001A472,remote,1,+1 café within 400m,cafe,7,81,88,50.823946,4.300573
21001A472,remote,2,+1 library within 550m,library,6,81,87,50.829193,4.305755
21001A472,senior,1,+1 hospital within 0m,hospital,6,79,85,50.827267,4.298395
21001A472,senior,2,+1 library within 400m,library,5,79,84,50.828715,4.303929
21001A472,senior,3,+1 café within 300m,cafe,5,79,84,50.82477,4.300032
21001A492,remote,1,+1 coworking space within 550m,coworking,20,64,84,50.823554,4.279005
21001A492,remote,2,+1 library within 550m,library,8,64,72,50.827406,4.293725
21001A492,remote,3,+1 café within 400m,cafe,3,64,67,50.822159,4.288543
21001A492,senior,1,+1 local shop within 200m,convenience,6,76,82,50.824333,4.28455
21001A492,senior,2,+1 library within 400m,library,5,76,81,50.826928,4.291899
21001A492,senior,3,+1 restaurant within 300m,restaurant,5,76,81,50.822983,4.284728
21001A503,family,1,+1 childcare centre within 400m,childcare,6,85,91,50.823863,4.28811
21001A503,remote,1,+1 coworking space within 550m,coworking,20,67,87,50.824479,4.276725
21001A503,remote,2,+1 library within 550m,library,8,67,75,50.82833,4.291446
21001A503,senior,1,+1 library within 400m,library,5,82,87,50.827852,4.28962
21001A503,senior,2,+1 restaurant within 300m,restaurant,5,82,87,50.823907,4.282448
21001A503,senior,3,+1 local shop within 200m,convenience,4,82,86,50.825258,4.28227
21001A51-,family,1,+1 childcare centre within 400m,childcare,8,87,95,50.828772,4.289728
21001A51-,remote,1,+1 coworking space within 550m,coworking,20,71,91,50.829388,4.278343
21001A51-,remote,2,+1 library within 550m,library,7,71,78,50.83324,4.293065
21001A51-,senior,1,+1 supermarket within 300m,supermarket,7,82,89,50.828611,4.285704
21001A51-,senior,2,+1 library within 400m,library,5,82,87,50.832762,4.291239
21001A51-,senior,3,+1 restaurant within 300m,restaurant,4,82,86,50.828817,4.284066
21001A52-,family,1,+1 childcare centre within 400m,childcare,9,81,90,50.83152,4.293589
21001A52-,family,2,+1 supermarket within 400m,supermarket,8,81,89,50.830467,4.289564
21001A52-,remote,1,+1 coworking space within 550m,coworking,20,68,88,50.832136,4.282203
21001A52-,remote,2,+1 supermarket within 400m,supermarket,8,68,76,50.830467,4.289564
21001A52-,remote,3,+1 library within 550m,library,4,68,72,50.835988,4.296926
21001A52-,senior,1,+1 supermarket within 300m,supermarket,12,77,89,50.831359,4.289564
21001A52-,senior,2,+1 library within 400m,library,4,77,81,50.83551,4.295099
