sector_id,scenario,score,percentile,breakdown
21001A152,remote,0.745461,50.9,"{""supermarket"": 0.9825, ""pharmacy"": 0.8719, ""convenience"": 1.0, ""gp"": 0.9837, ""park"": 0.9089, ""playground"": 0.1644, ""transit"": 1.0, ""cafe"": 1.0, ""library"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.0158}"
21001A152,senior,0.83392,76.3,"{""supermarket"": 0.7539, ""convenience"": 1.0, ""gp"": 0.7602, ""hospital"": 0.6558, ""park"": 0.5573, ""library"": 1.0, ""transit"": 1.0, ""cafe"": 1.0, ""restaurant"": 1.0, ""sport"": 1.0}"
21001A30-,family,0.891962,69.0,"{""school"": 1.0, ""childcare"": 0.8277, ""supermarket"": 0.9886, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.9079, ""hospital"": 0.3897, ""park"": 1.0, ""playground"": 0.7507, ""transit"": 1.0, ""cafe"": 0.1878, ""restaurant"": 1.0, ""library"": 0.1041, ""sport"": 1.0}"
21001A30-,remote,0.847519,70.6,"{""supermarket"": 0.9886, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.9079, ""park"": 1.0, ""playground"": 0.7507, ""transit"": 1.0, ""cafe"": 0.1878, ""library"": 0.1041, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.9994}"
21001A30-,senior,0.648755,46.8,"{""supermarket"": 0.781, ""convenience"": 0.897, ""gp"": 0.5551, ""hospital"": 0.1888, ""park"": 1.0, ""library"": 0.0, ""transit"": 1.0, ""cafe"": 0.0136, ""restaurant"": 0.3109, ""sport"": 1.0}"
21001A31-,family,0.811102,41.1,"{""school"": 1.0, ""childcare"": 0.0, ""supermarket"": 1.0, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.6513, ""hospital"": 0.7286, ""park"": 1.0, ""playground"": 1.0, ""transit"": 0.6584, ""cafe"": 1.0, ""restaurant"": 1.0, ""library"": 0.4932, ""sport"": 1.0}"
21001A31-,remote,0.823073,66.9,"{""supermarket"": 1.0, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.6513, ""park"": 1.0, ""playground"": 1.0, ""transit"": 0.6584, ""cafe"": 1.0, ""library"": 0.4932, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.6273}"
21001A31-,senior,0.494065,24.1,"{""supermarket"": 1.0, ""convenience"": 0.3823, ""gp"": 0.2234, ""hospital"": 0.5711, ""park"": 0.877, ""library"": 0.1054, ""transit"": 0.2292, ""cafe"": 0.2639, ""restaurant"": 1.0, ""sport"": 1.0}"
21001A32-,family,0.770159,33.6,"{""school"": 1.0, ""childcare"": 0.0, ""supermarket"": 0.9794, ""pharmacy"": 1.0, ""convenience"": 0.5081, ""gp"": 1.0, ""hospital"": 0.447, ""park"": 1.0, ""playground"": 0.3729, ""transit"": 0.9563, ""cafe"": 0.0426, ""restaurant"": 1.0, ""library"": 0.0779, ""sport"": 1.0}"
21001A32-,remote,0.801762,63.2,"{""supermarket"": 0.9794, ""pharmacy"": 1.0, ""convenience"": 0.5081, ""gp"": 1.0, ""park"": 1.0, ""playground"": 0.3729, ""transit"": 0.9563, ""cafe"": 0.0426, ""library"": 0.0779, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 0.9985}"
21001A32-,senior,0.666911,49.2,"{""supermarket"": 0.7424, ""convenience"": 0.1062, ""gp"": 0.8844, ""hospital"": 0.2408, ""park"": 1.0, ""library"": 0.0, ""transit"": 0.6675, ""cafe"": 0.0, ""restaurant"": 1.0, ""sport"": 0.9984}"
21001A331,family,0.692863,21.1,"{""school"": 1.0, ""childcare"": 0.0157, ""supermarket"": 0.8376, ""pharmacy"": 0.9582, ""convenience"": 1.0, ""gp"": 0.7997, ""hospital"": 0.1747, ""park"": 1.0, ""playground"": 0.2711, ""transit"": 0.4994, ""cafe"": 0.424, ""restaurant"": 1.0, ""library"": 0.1186, ""sport"": 1.0}"
21001A331,remote,0.759984,54.8,"{""supermarket"": 0.8376, ""pharmacy"": 0.9582, ""convenience"": 1.0, ""gp"": 0.7997, ""park"": 1.0, ""playground"": 0.2711, ""transit"": 0.4994, ""cafe"": 0.424, ""library"": 0.1186, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 1.0}"
21001A331,senior,0.356735,12.5,"{""supermarket"": 0.4339, ""convenience"": 0.3221, ""gp"": 0.3806, ""hospital"": 0.0457, ""park"": 0.9115, ""library"": 0.0, ""transit"": 0.1177, ""cafe"": 0.081, ""restaurant"": 0.2743, ""sport"": 1.0}"
21001A332,family,0.812418,41.8,"{""school"": 1.0, ""childcare"": 0.1304, ""supermarket"": 0.8021, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.6994, ""hospital"": 0.1964, ""park"": 1.0, ""playground"": 1.0, ""transit"": 1.0, ""cafe"": 0.6653, ""restaurant"": 1.0, ""library"": 0.2346, ""sport"": 1.0}"
21001A332,remote,0.877162,75.5,"{""supermarket"": 0.8021, ""pharmacy"": 1.0, ""convenience"": 1.0, ""gp"": 0.6994, ""park"": 1.0, ""playground"": 1.0, ""transit"": 1.0, ""cafe"": 0.6653, ""library"": 0.2346, ""restaurant"": 1.0, ""sport"": 1.0, ""coworking"": 1.0}"
21001A332,senior,0.50813,26.6,"{""supermarket"": 0.3838, ""convenience"": 0.8139, ""gp"": 0.2672, ""hospital"": 0.0561, ""park"": 1.0, ""library"": 0.0196, ""transit"": 0.9454, ""cafe"": 0.2357, ""restaurant"": 0.2623, ""sport"": 1.0}"
